
"Banco de México"

"Sistemas de pago de bajo valor"
"Número de operaciones tercero a tercero en SPEI"

"Fecha de consulta: 25/07/2026 12:23:09"

""

"Título","Número de operaciones tercero a tercero en SPEI - Mayores a 8 mil y menores a 300 mil"
"Periodo disponible","01/01/2009 - 20/07/2026"
"Periodicidad","Diaria"
"Cifra","Flujos"
"Unidad","Sin Unidad"
"Base",""
"Aviso",""
"Tipo de información","Niveles"
"Fecha","SF336087"
16/10/2009,113446
17/10/2009,N/E
18/10/2009,N/E
19/10/2009,82086
20/10/2009,74952
21/10/2009,70950
22/10/2009,77221
23/10/2009,109100
24/10/2009,N/E
25/10/2009,N/E
26/10/2009,80494
27/10/2009,74683
28/10/2009,81783
29/10/2009,103934
30/10/2009,155791
31/10/2009,N/E
01/11/2009,N/E
02/11/2009,N/E
03/11/2009,110975
04/11/2009,84675
05/11/2009,90502
06/11/2009,121218
07/11/2009,N/E
08/11/2009,N/E
09/11/2009,83011
10/11/2009,85751
11/11/2009,75024
12/11/2009,91586
13/11/2009,161594
14/11/2009,N/E
15/11/2009,N/E
16/11/2009,N/E
17/11/2009,110967
18/11/2009,86307
19/11/2009,92520
20/11/2009,118925
21/11/2009,N/E
22/11/2009,N/E
23/11/2009,85934
24/11/2009,79440
25/11/2009,85442
26/11/2009,95826
27/11/2009,150286
28/11/2009,N/E
29/11/2009,N/E
30/11/2009,158703
01/12/2009,85228
02/12/2009,86481
03/12/2009,100210
04/12/2009,139115
05/12/2009,N/E
06/12/2009,N/E
07/12/2009,96800
08/12/2009,95424
09/12/2009,94090
10/12/2009,113838
11/12/2009,147671
12/12/2009,N/E
13/12/2009,N/E
14/12/2009,122424
15/12/2009,136005
16/12/2009,110599
17/12/2009,117290
18/12/2009,161166
19/12/2009,N/E
20/12/2009,N/E
21/12/2009,115339
22/12/2009,115971
23/12/2009,134342
24/12/2009,88963
25/12/2009,N/E
26/12/2009,N/E
27/12/2009,N/E
28/12/2009,89596
29/12/2009,102369
30/12/2009,136735
31/12/2009,120625
01/01/2010,N/E
02/01/2010,N/E
03/01/2010,N/E
04/01/2010,65309
05/01/2010,69287
06/01/2010,77632
07/01/2010,86088
08/01/2010,165963
09/01/2010,N/E
10/01/2010,N/E
11/01/2010,77020
12/01/2010,62377
13/01/2010,63233
14/01/2010,87907
15/01/2010,130095
16/01/2010,N/E
17/01/2010,N/E
18/01/2010,82936
19/01/2010,68833
20/01/2010,67403
21/01/2010,71189
22/01/2010,101310
23/01/2010,N/E
24/01/2010,N/E
25/01/2010,77590
26/01/2010,70111
27/01/2010,73097
28/01/2010,101056
29/01/2010,181062
30/01/2010,N/E
31/01/2010,N/E
01/02/2010,N/E
02/02/2010,93818
03/02/2010,77487
04/02/2010,85752
05/02/2010,119685
06/02/2010,N/E
07/02/2010,N/E
08/02/2010,81575
09/02/2010,76331
10/02/2010,79238
11/02/2010,85913
12/02/2010,140037
13/02/2010,N/E
14/02/2010,N/E
15/02/2010,112867
16/02/2010,80005
17/02/2010,79083
18/02/2010,82976
19/02/2010,115316
20/02/2010,N/E
21/02/2010,N/E
22/02/2010,83056
23/02/2010,78611
24/02/2010,82833
25/02/2010,112166
26/02/2010,193666
27/02/2010,N/E
28/02/2010,N/E
01/03/2010,98037
02/03/2010,77737
03/03/2010,79727
04/03/2010,91851
05/03/2010,134978
06/03/2010,N/E
07/03/2010,N/E
08/03/2010,87131
09/03/2010,81497
10/03/2010,89353
11/03/2010,100802
12/03/2010,171356
13/03/2010,N/E
14/03/2010,N/E
15/03/2010,N/E
16/03/2010,120735
17/03/2010,96027
18/03/2010,92607
19/03/2010,131453
20/03/2010,N/E
21/03/2010,N/E
22/03/2010,88135
23/03/2010,82483
24/03/2010,84732
25/03/2010,101541
26/03/2010,144359
27/03/2010,N/E
28/03/2010,448
29/03/2010,103317
30/03/2010,128088
31/03/2010,173463
01/04/2010,N/E
02/04/2010,N/E
03/04/2010,N/E
04/04/2010,N/E
05/04/2010,95086
06/04/2010,83341
07/04/2010,88379
08/04/2010,92393
09/04/2010,128826
10/04/2010,N/E
11/04/2010,N/E
12/04/2010,94016
13/04/2010,84822
14/04/2010,108009
15/04/2010,124740
16/04/2010,136231
17/04/2010,N/E
18/04/2010,N/E
19/04/2010,96149
20/04/2010,83678
21/04/2010,81785
22/04/2010,90073
23/04/2010,130456
24/04/2010,N/E
25/04/2010,N/E
26/04/2010,93977
27/04/2010,86370
28/04/2010,94270
29/04/2010,127572
30/04/2010,196778
01/05/2010,N/E
02/05/2010,N/E
03/05/2010,85932
04/05/2010,80597
05/05/2010,89158
06/05/2010,96613
07/05/2010,136812
08/05/2010,N/E
09/05/2010,N/E
10/05/2010,86250
11/05/2010,81077
12/05/2010,88659
13/05/2010,102755
14/05/2010,178040
15/05/2010,N/E
16/05/2010,N/E
17/05/2010,108385
18/05/2010,87274
19/05/2010,86692
20/05/2010,96017
21/05/2010,131902
22/05/2010,N/E
23/05/2010,0
24/05/2010,90180
25/05/2010,91158
26/05/2010,87154
27/05/2010,105959
28/05/2010,154368
29/05/2010,N/E
30/05/2010,N/E
31/05/2010,172984
01/06/2010,88317
02/06/2010,82346
03/06/2010,98877
04/06/2010,139394
05/06/2010,0
06/06/2010,N/E
07/06/2010,96937
08/06/2010,85970
09/06/2010,86432
10/06/2010,102829
11/06/2010,133284
12/06/2010,N/E
13/06/2010,N/E
14/06/2010,117462
15/06/2010,124084
16/06/2010,92196
17/06/2010,93322
18/06/2010,133716
19/06/2010,0
20/06/2010,N/E
21/06/2010,91669
22/06/2010,84263
23/06/2010,85098
24/06/2010,92896
25/06/2010,137118
26/06/2010,N/E
27/06/2010,N/E
28/06/2010,103459
29/06/2010,119931
30/06/2010,173179
01/07/2010,92853
02/07/2010,118862
03/07/2010,N/E
04/07/2010,N/E
05/07/2010,98396
06/07/2010,91777
07/07/2010,90237
08/07/2010,101610
09/07/2010,138719
10/07/2010,N/E
11/07/2010,N/E
12/07/2010,97473
13/07/2010,91376
14/07/2010,112878
15/07/2010,135714
16/07/2010,140998
17/07/2010,N/E
18/07/2010,N/E
19/07/2010,99111
20/07/2010,91080
21/07/2010,85161
22/07/2010,93326
23/07/2010,131484
24/07/2010,N/E
25/07/2010,N/E
26/07/2010,94842
27/07/2010,88503
28/07/2010,97357
29/07/2010,126389
30/07/2010,208373
31/07/2010,N/E
01/08/2010,N/E
02/08/2010,97399
03/08/2010,87019
04/08/2010,94092
05/08/2010,107441
06/08/2010,137979
07/08/2010,N/E
08/08/2010,N/E
09/08/2010,95535
10/08/2010,96226
11/08/2010,88162
12/08/2010,108330
13/08/2010,179494
14/08/2010,N/E
15/08/2010,N/E
16/08/2010,111384
17/08/2010,95288
18/08/2010,90739
19/08/2010,94670
20/08/2010,135660
21/08/2010,N/E
22/08/2010,N/E
23/08/2010,94585
24/08/2010,89427
25/08/2010,94686
26/08/2010,102425
27/08/2010,151290
28/08/2010,N/E
29/08/2010,N/E
30/08/2010,137835
31/08/2010,170103
01/09/2010,90183
02/09/2010,93302
03/09/2010,146712
04/09/2010,N/E
05/09/2010,N/E
06/09/2010,101878
07/09/2010,95877
08/09/2010,90371
09/09/2010,102072
10/09/2010,150797
11/09/2010,0
12/09/2010,N/E
